STATE,YEAR,MONTH,date,Total_Generation_MWh,Renewable_Generation_MWh,Fossil_Generation_MWh,Nuclear_Generation_MWh,Renewable_Share_Pct,Fossil_Share_Pct,Nuclear_Share_Pct,Total_Consumption_MWh,Avg_Temp_F,Temp_Extreme,Real_GDP_Millions,GDP_Growth_Rate_Annual,Has_RPS,RPS_Target_Pct,Years_Since_RPS,CO2_Intensity_Tons_per_MWh,CO2_Intensity_Proxy,CO2_Intensity_Combined,High_Demand_Month,Fossil_Intensity,High_Fossil_Backup
MA,2005,12,2005-12-01,4200610.0,209095.0,3414421.0,510951.0,4.977729425012082,81.28393257169793,12.16373336253544,22016557.3,35.1,1,101.1552280407089,,1,35.0,3.0,,0.7012144129066968,0.7012144129066968,1,81.28393257169793,0
MA,2006,1,2006-01-01,3590825.0,255147.0,2792957.0,475558.0,7.1055258888973984,77.7803708061518,13.243697478991598,22193152.45,30.4,1,103.27081635803073,2.0914275597010423,1,35.0,4.0,,0.6063912318199857,0.6063912318199857,1,77.7803708061518,0
MA,2006,2,2006-02-01,3349358.0,231697.0,2596250.0,461696.0,6.917654069824724,77.5148550856612,13.784611856958856,23051577.59,30.6,1,103.27081635803073,2.0914275597010423,1,35.0,4.0,,0.5719108079817088,0.5719108079817088,1,77.5148550856612,0
MA,2006,3,2006-03-01,3384774.0,224877.0,2676913.0,417109.0,6.643781830042419,79.08690506367634,12.323097494840129,26862600.77,31.8,1,103.27081635803073,2.0914275597010423,1,35.0,4.0,,0.5360416013004119,0.5360416013004119,0,79.08690506367634,0
MA,2006,4,2006-04-01,3266168.0,233478.0,2475078.0,492887.0,7.148376935907767,75.77926181384423,15.090681189699978,25853801.48,41.6,0,103.27081635803073,2.0914275597010423,1,35.0,4.0,,0.5027464263932535,0.5027464263932535,0,75.77926181384423,0
MA,2006,5,2006-05-01,3667389.0,257657.0,2830877.0,508402.0,7.025625042775665,77.19052982926,13.862778123618739,30913366.509999998,51.9,0,103.27081635803073,2.0914275597010423,1,35.0,4.0,,0.5000626453861317,0.5000626453861317,0,77.19052982926,0
MA,2006,6,2006-06-01,4206701.0,249521.0,3415209.0,479200.0,5.9315126033440455,81.1849713112484,11.391349183124735,35956015.27,61.2,0,103.27081635803073,2.0914275597010423,1,35.0,4.0,,0.5448150023022791,0.5448150023022791,1,81.1849713112484,0
MA,2006,7,2006-07-01,5142491.0,248901.0,4318770.0,507333.0,4.840086253918577,83.98206238960846,9.865510702886986,47526033.98,69.9,1,103.27081635803073,2.0914275597010423,1,35.0,4.0,,0.5542027725473899,0.5542027725473899,1,83.98206238960846,1
MA,2006,8,2006-08-01,4625216.0,247348.0,3812828.0,498435.0,5.3478151074457925,82.43567435553281,10.776469682713197,39458424.82,70.8,1,103.27081635803073,2.0914275597010423,1,35.0,4.0,,0.5594792524284271,0.5594792524284271,1,82.43567435553281,0
MA,2006,9,2006-09-01,3851305.0,185804.0,3115723.0,487899.0,4.8244426239936855,80.90044802995348,12.668407202234047,32317492.0,64.3,0,103.27081635803073,2.0914275597010423,1,35.0,4.0,,0.5416613939950224,0.5416613939950224,0,80.90044802995348,0
MA,2006,10,2006-10-01,4060907.0,200560.0,3295945.0,501301.0,4.938798155190454,81.16277964503989,12.344557508950587,34385933.87,55.2,0,103.27081635803073,2.0914275597010423,1,35.0,4.0,,0.5344189130654802,0.5344189130654802,0,81.16277964503989,0
MA,2006,11,2006-11-01,3544019.0,224078.0,2762761.0,491784.0,6.3227087665162065,77.95559222453379,13.876449307974928,23725212.71,47.9,0,103.27081635803073,2.0914275597010423,1,35.0,4.0,,0.5799342624856131,0.5799342624856131,0,77.95559222453379,0
MA,2006,12,2006-12-01,3487512.0,232401.0,2679949.0,508054.0,6.663805027767647,76.84415136062614,14.56780650503855,21713483.25,41.4,0,103.27081635803073,2.0914275597010423,1,35.0,4.0,,0.5960796565001066,0.5960796565001066,1,76.84415136062614,0
MA,2007,1,2007-01-01,3529416.0,171919.0,2799017.0,496378.0,4.871032488094348,79.30538650020287,14.064026456501585,23393346.0,33.4,1,106.5266014183769,3.1526671088361047,1,35.0,5.0,,0.6139534316725487,0.6139534316725487,1,79.30538650020287,0
MA,2007,2,2007-02-01,3476207.0,139214.0,2848337.0,434146.0,4.004767265010398,81.93807215738303,12.48907214098585,21469298.0,26.2,1,106.5266014183769,3.1526671088361047,1,35.0,5.0,,0.6675729480436579,0.6675729480436579,1,81.93807215738303,0
MA,2007,3,2007-03-01,3860342.0,189450.0,3222930.0,382851.0,4.907596269967791,83.48819871399995,9.91754098471068,28290018.0,28.2,1,106.5266014183769,3.1526671088361047,1,35.0,5.0,,0.6238145609896739,0.6238145609896739,0,83.48819871399995,1
MA,2007,4,2007-04-01,3719374.0,181169.0,3416355.0,73456.0,4.870954090661493,91.8529569760933,1.9749560006603262,34577984.0,38.6,1,106.5266014183769,3.1526671088361047,1,35.0,5.0,,0.6224944829425597,0.6224944829425597,0,91.8529569760933,1
MA,2007,5,2007-05-01,3699372.0,209480.0,3082254.0,345315.0,5.662582730258,83.3183037553401,9.33442216678939,29975592.0,50.8,0,106.5266014183769,3.1526671088361047,1,35.0,5.0,,0.5946380439707064,0.5946380439707064,0,83.3183037553401,0
MA,2007,6,2007-06-01,4160149.0,159290.0,3446994.0,491401.0,3.8289493958028906,82.85746496099058,11.812100960806934,33970376.0,62.0,0,106.5266014183769,3.1526671088361047,1,35.0,5.0,,0.5808680698696128,0.5808680698696128,1,82.85746496099058,0
MA,2007,7,2007-07-01,4685689.0,158430.0,4019135.0,443982.0,3.381146294600431,85.77468543046712,9.475276741584855,43367374.0,67.8,1,106.5266014183769,3.1526671088361047,1,35.0,5.0,,0.5686276457955276,0.5686276457955276,1,85.77468543046712,1
